父件预入仓库	父件商品	生产数量	成品率%	子件预出仓库	子件商品	生产数量	子件版本号	计量单位	需用数量	固定损耗数量
装配成品仓	V206侧底座_894组件-新	1	100.0000%	自制半成品仓	V206 侧转向手柄底座_894-新	1	V1.0	PC	1	0
装配成品仓	V206侧底座_894组件-新	1	100.0000%	外购半成品仓	V206 减震垫	1		PC	1	0
装配成品仓	V206侧底座_894组件-新	1	100.0000%	外购半成品仓	V206 旋转支架2	1		PC	1	0
装配成品仓	V206后底座_894组件-新	1	100.0000%	自制半成品仓	V206 后转向手柄底座_894-新	1	V1.0	PC	1	0
装配成品仓	V206后底座_894组件-新	1	100.0000%	外购半成品仓	V206 减震垫	1		PC	1	0
装配成品仓	V206后底座_894组件-新	1	100.0000%	外购半成品仓	V206 旋转支架2	1		PC	1	0
自制成品仓	G28杯托电镀饰环-素材	1	100.0000%	原材料仓	PC+ABS CB3110C N01512A	1		千克	0.0336	0
自制半成品仓	C121_MCM_主叶片1_CL	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0167	0
自制半成品仓	C121_MCM_主叶片1_CR	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0163	0
自制半成品仓	C121_MCM_主叶片2_CL	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0234	0
自制成品仓	C121_MCM_主叶片2_CR	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.024	0
自制成品仓	C121_MCM_主叶片支架1_CL	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0058	0
自制成品仓	C121_MCM_主叶片支架_C	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0094	0
自制成品仓	C121_MCM_主叶片支架2_CR	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0058	0
自制成品仓	C121_MCM_主叶片连杆_C	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0004	0
自制半成品仓	C121_MCM_次叶片1_CR	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.004	0
自制半成品仓	C121_MCM_次叶片2_CR	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.004	0
